report,entity,field_name,field_description
FFIEC_031,LC_2001_BANACONSOLDT,TE04N528,"URLs of all other public-facing Internet Web sites that the reporting institution uses to accept or solicit deposits from the public, if any (Example: www.examplebank.biz):"
FFIEC_031,LC_2001_BANACONSOLDT,TE04N529,"Trade names other than the reporting institution's legal title used to identify one or more of the institution's physical offices at which deposits are accepted or solicited from the public, if any:"
FFIEC_031,LC_2001_BANACONSOLDT,TE05N528,"URLs of all other public-facing Internet Web sites that the reporting institution uses to accept or solicit deposits from the public, if any (Example: www.examplebank.biz):"
FFIEC_031,LC_2001_BANACONSOLDT,TE05N529,"Trade names other than the reporting institution's legal title used to identify one or more of the institution's physical offices at which deposits are accepted or solicited from the public, if any:"
FFIEC_031,LC_2001_BANACONSOLDT,TE06N528,"URLs of all other public-facing Internet Web sites that the reporting institution uses to accept or solicit deposits from the public, if any (Example: www.examplebank.biz):"
FFIEC_031,LC_2001_BANACONSOLDT,TE06N529,"Trade names other than the reporting institution's legal title used to identify one or more of the institution's physical offices at which deposits are accepted or solicited from the public, if any:"
FFIEC_031,LC_2001_BANACONSOLDT,TE07N528,"URLs of all other public-facing Internet Web sites that the reporting institution uses to accept or solicit deposits from the public, if any (Example: www.examplebank.biz):"
FFIEC_031,LC_2001_BANACONSOLDT,TE09N528,"URLs of all other public-facing Internet Web sites that the reporting institution uses to accept or solicit deposits from the public, if any (Example: www.examplebank.biz):"
FFIEC_031,LC_2001_BANACONSOLDT,TE10N528,"URLs of all other public-facing Internet Web sites that the reporting institution uses to accept or solicit deposits from the public, if any (Example: www.examplebank.biz):"
FFIEC_031,LC_2001_BANACONSOLDT,TEXT4087,Primary Internet Web site address of the bank (home page)
FFIEC_031,LC_2001_BANACONSOLDT,TEXT8902,Other: Area Code / Phone Number / Extension
FFIEC_031,LC_2001_BANACONSOLDT,TEXT9116,Other: Area Code / FAX Number
FFIEC_031,LC_2001_BANACONSOLDT,TEXTB964,RC-T Contact: Area Code / FAX Number
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC367,Primary: Title
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC370,Primary: Area Code / FAX Number
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC371,Secondary: Name
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC372,Secondary: Title
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC373,Secondary: E-mail Address
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC375,Secondary: Area Code / FAX Number
FFIEC_031,LC_2001_BANACONSOLDT,MLTPLR,"Multiplier for Edit Checks. If left blank, the MLTPLR will be calculated in the FFR as RND/RND_MUL"
FFIEC_031,LC_2001_BANACONSOLDT,RCOANC99,"Standardized Approach for Counterparty Credit Risk opt-in election (enter ""1"" for Yes; leave blank for No)"
FFIEC_031,LC_2001_BANACONSOLDT,RCONPG75,"Did your institution adopt ASU 2022-01, derivatives and hedging (Topic 815): : Fair value hedging -portfolio layer method?"
FFIEC_031,LC_2001_BANACONSOLDT,TEXTB962,RC-T Contact: Name and Title
FFIEC_031,LC_2001_BANACONSOLDT,TEXTB926,RC-T Contact: E-mail Address
FFIEC_031,LC_2001_BANACONSOLDT,RCON9999,Date (YYYYMMDD)
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC374,Secondary: Area Code / Phone Number / Extension
FFIEC_031,LC_2001_BANACONSOLDT,TEXTB963,RC-T Contact: Area Code / Phone Number / Extension
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC368,Primary: E-mail Address
FFIEC_031,LC_2001_BANACONSOLDT,TEXT4086,Other: E-mail Address
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC369,Primary: Area Code / Phone Number / Extension
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC366,Primary: Name
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC490,CFO (or equivalent): Name
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC491,CFO (or equivalent): Title
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC492,CFO (or equivalent): E-mail Address
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC493,CFO (or equivalent): Area Code / Phone Number / Extension
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC496,Other: Title
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC875,PATRIOT Act: Fourth: Name
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC876,PATRIOT Act: Fourth: Title
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC877,PATRIOT Act: Fourth: E-mail Address
FFIEC_031,LC_2001_BANACONSOLDT,TEXTC878,PATRIOT Act: Fourth: Area Code / Phone Number / Extension
FFIEC_031,LC_2001_BANACONSOLDT,TEXTFT42,CEO: Name
FFIEC_031,LC_2001_BANACONSOLDT,TEXTFT43,CEO: Area Code / Phone Number / Extension
FFIEC_031,LC_2001_BANACONSOLDT,TEXTFT44,CEO: E-mail Address
FFIEC_031,LC_2001_BANACONSOLDT,TEXTFT45,CEO: Area Code / FAX Number
FFIEC_031,LC_2001_BANACONSOLDT,TEXTG546,Closed End Fund Assets
FFIEC_031,LC_2001_BANACONSOLDT,TOPSIDE_ADJ,"Does the client wish to use Topside Adjustments (manual) functionality in the forms? Enter ""1"" for YES and ""0"" for NO"
FFIEC_031,LC_2314_BOA_CALIFORN,CREDIT_FI,Multiplier for Credit MDRMs
FFIEC_031,LC_2314_BOA_CALIFORN,DEBIT_FI,Multiplier for Debit MDRMs
FFIEC_031,LC_2314_BOA_CALIFORN,DIRECTOR1,Director (Trustee)
FFIEC_031,LC_2314_BOA_CALIFORN,DIRECTOR2,Director (Trustee)
FFIEC_031,LC_2314_BOA_CALIFORN,DIRECTOR3,Director (Trustee)
FFIEC_031,LC_2314_BOA_CALIFORN,ENTITY,Legal Title of Bank
FFIEC_031,LC_2314_BOA_CALIFORN,MLTPLR,"Multiplier for Edit Checks. If left blank, the MLTPLR will be calculated in the FFR as RND/RND_MUL"
FFIEC_031,LC_2314_BOA_CALIFORN,NA_DISPLAY,Display value for not applicable MDRMs
FFIEC_031,LC_2314_BOA_CALIFORN,PY_SOURCE,"Does the client wish to get values from Previously Filed Reports for Q4 Previous Year (Enter ""1"") OR from an Aggregation Data Source (Enter ""0"") Applies to RIAD3217 and RIADB522?"
FFIEC_031,LC_2314_BOA_CALIFORN,RCFAH313,"Is the institution eligible to complete RC-R Pt I line item 53, based on the reporting requirements set forth in Footnote 1 related to this item? (Enter ""1"" for YES and ""0"" for NO)"
FFIEC_031,LC_2314_BOA_CALIFORN,RCFAH314,"Is the institution eligible to complete RC-R Pt I line item 54, based on the reporting requirements set forth in Footnote 2 related to this item? (Enter ""1"" for YES and ""0"" for NO)"
FFIEC_031,LC_2314_BOA_CALIFORN,RCFD4088,"Do any of the bank's Internet websites have transactional capability, i.e., allow the bank's customers to execute transactions on their accounts through the website?"
FFIEC_031,LC_2314_BOA_CALIFORN,RCFD6724,Audit Type
FFIEC_031,LC_2314_BOA_CALIFORN,RCFDA345,Does the institution have fiduciary powers?
FFIEC_031,LC_2314_BOA_CALIFORN,RCFDA346,Does the institution exercise the fiduciary powers it has been granted?
FFIEC_031,LC_2314_BOA_CALIFORN,RCFDB569,Does the reporting bank sell private label or third-party mutual funds and annuities?
FFIEC_031,LC_2314_BOA_CALIFORN,RCFDB867,Does the institution have any fiduciary or related activity (in the form of assets or accounts) to report in this schedule?
